Código,Descripción,GRUPO,Clasificación Sistemas JMC,SEGMENTO,Clasificación Partes JMC,TIPO
N46X,ESTERILIDAD EN EL VARON,31.0,12.0,19.0,47.0,13.0
N47X,"PREPUCIO REDUNDANTE, FIMOSIS Y PARAFIMOSIS",31.0,12.0,19.0,71.0,13.0
N480,LEUCOPLASIA DEL PENE,31.0,12.0,19.0,71.0,13.0
N481,BALANOPOSTITIS,31.0,12.0,19.0,71.0,13.0
N482,OTROS TRASTORNOS INFLAMATORIOS DEL PENE,31.0,12.0,19.0,71.0,13.0
N483,PRIAPISMO,31.0,12.0,19.0,47.0,13.0
N484,IMPOTENCIA DE ORIGEN ORGANICO,31.0,12.0,19.0,47.0,13.0
N485,ULCERA DEL PENE,31.0,12.0,19.0,71.0,13.0
N486,BALANITIS XEROTICA OBLITERANTE,31.0,12.0,19.0,71.0,13.0
N488,OTROS TRASTORNOS ESPECIFICADOS DEL PENE,31.0,12.0,19.0,71.0,13.0
N489,"TRASTORNO DEL PENE, NO ESPECIFICADO",31.0,12.0,19.0,71.0,13.0
N490,TRASTORNOS INFLAMATORIOS DE VESICULA SEMINAL,31.0,12.0,19.0,47.0,13.0
N491,"TRASTORNOS INFLAMATORIOS DEL CORDON ESPERMATICO, TUNICA VAGINAL Y CONDUCTO DEFERENTE",31.0,12.0,19.0,47.0,13.0
N492,TRASTORNOS INFLAMATORIOS DEL ESCROTO,31.0,12.0,19.0,47.0,13.0
N498,OTROS TRASTORNOS INFLAMATORIOS DE LOS ORGANOS GENITALES MASCULINOS,31.0,12.0,19.0,47.0,13.0
N499,"TRASTORNO INFLAMATORIO DE ORGANO MASCULINO, NO ESPECIFICADO",31.0,12.0,19.0,47.0,13.0
N500,ATROFIA DEL TESTICULO,31.0,12.0,19.0,89.0,13.0
N501,TRASTORNOS VASCULARES DE LOS ORGANOS GENITALES MASCULINOS,31.0,12.0,19.0,47.0,13.0
N508,OTROS TRASTORNOS ESPECIFICADOS DE LOS ORGANOS GENITALES MASCULINOS,31.0,12.0,19.0,47.0,13.0
N509,TRASTORNO NO ESPECIFICADO DE LOS ORGANOS GENITALES MASCULINOS,31.0,12.0,19.0,47.0,13.0
N510,TRASTORNOS DE PROSTATA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,31.0,12.0,19.0,78.0,13.0
N511,TRASTORNO DEL TESTICULO Y DEL EPIDIDIMO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,31.0,12.0,19.0,89.0,13.0
N512,BALANITIS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,31.0,12.0,19.0,71.0,13.0
N518,OTROS TRASTORNOS DE LOS ORGANOS GENITALES MASCULINOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,31.0,12.0,19.0,47.0,13.0
N600,QUISTE SOLITARIO DE LA MAMA,31.0,2.0,20.0,42.0,13.0
N601,MASTOPATIA QUISTICA DIFUSA,31.0,2.0,20.0,42.0,13.0
N602,FIBROADENOSIS DE LA MAMA,31.0,2.0,20.0,42.0,13.0
N603,FIBROESCLEROSIS DE MAMA,31.0,2.0,20.0,42.0,13.0
N604,ECTASIA DE CONDUCTO MAMARIO,31.0,2.0,20.0,42.0,13.0
N608,OTRAS DISPLASIAS MAMARIAS BENIGNAS,31.0,2.0,20.0,42.0,13.0
N609,"DISPLASIA MAMARIA BENIGNA, SIN OTRA ESPECIFICACION",31.0,2.0,20.0,42.0,13.0
N61X,TRASTORNOS INFLAMATORIOS DE LA MAMA,31.0,2.0,20.0,42.0,13.0
N62X,HIPERTROFIA DE LA MAMA,31.0,2.0,20.0,42.0,13.0
N63X,MASA NO ESPECIFICADA EN LA MAMA,31.0,2.0,20.0,42.0,13.0
N640,FISURA Y FISTULA DEL PEZON,31.0,2.0,20.0,42.0,13.0
N641,NECROSIS GRASA DE LA MAMA,31.0,2.0,20.0,42.0,13.0
N642,ATROFIA DE LA MAMA,31.0,2.0,20.0,42.0,13.0
N643,GALACTORREA NO ASOCIADA CON EL PARTO,31.0,2.0,20.0,42.0,13.0
N644,MASTODINIA,31.0,6.0,19.0,47.0,13.0
N645,OTROS SIGNOS Y SINTOMAS RELATIVOS A LA MAMA,31.0,2.0,20.0,42.0,13.0
N648,OTROS TRASTORNOS ESPECIFICADOS DE LA MAMA,31.0,2.0,20.0,42.0,13.0
N649,"TRASTORNO DE LA MAMA, NO ESPECIFICADO",31.0,2.0,20.0,42.0,13.0
N700,SALPINGITIS Y OOFORITIS AGUDA,31.0,6.0,19.0,68.0,13.0
N701,SALPINGITIS Y OOFORITIS CRONICA,31.0,6.0,19.0,68.0,13.0
N709,"SALPINGITIS Y OOFORITIS, NO ESPECIFICADAS",31.0,6.0,19.0,68.0,13.0
N710,ENFERMEDAD INFLAMATORIA AGUDA DEL UTERO,31.0,6.0,19.0,97.0,13.0
N711,ENFERMEDAD INFLAMATORIA CRONICA DEL UTERO,31.0,6.0,19.0,97.0,13.0
N719,"ENFERMEDAD INFLAMATORIA DEL UTERO, NO ESPECIFICADAS",31.0,6.0,19.0,97.0,13.0
N72X,ENFERMEDAD INFLAMATORIA DEL CUELLO UTERINO,31.0,6.0,19.0,97.0,13.0
N730,PARAMETRITIS Y CELULITIS PELVICA AGUDA,31.0,6.0,19.0,70.0,13.0
N731,PARAMETRITIS Y CELULITIS PELVICA CRONICA,31.0,6.0,19.0,70.0,13.0
N732,PARAMETRITIS Y CELULITIS PELVICA NO ESPECIFICADA,31.0,6.0,19.0,70.0,13.0
N733,"PERITONITIS PELVICA AGUDA, FEMENINA",31.0,6.0,19.0,70.0,13.0
N734,"PERITONITIS PELVICA CRONICA, FEMENINA",31.0,6.0,19.0,70.0,13.0
N735,"PERITONITIS PELVICA FEMENINA, NO ESPECIFICADA",31.0,6.0,19.0,70.0,13.0
N736,ADHERENCIAS PERITONEALES PELVICAS FEMENINAS,31.0,6.0,19.0,70.0,13.0
N738,OTRAS ENFERMEDADES INFLAMATORIAS PELVICAS FEMENINAS,31.0,6.0,19.0,70.0,13.0
N739,"ENFERMEDAD INFLAMATORIA PELVICA FEMENINA, NO ESPECIFICADA",31.0,6.0,19.0,70.0,13.0
N740,INFECCION TUBERCULOSA DEL CUELLO DEL UTERO (A18.1†),31.0,6.0,19.0,97.0,13.0
N741,ENFERMEDAD INFLAMATORIA PELVICA FEMENINA POR TUBERCULOSIS (A18.1†),31.0,6.0,19.0,70.0,13.0
N742,"ENFERMEDAD INFLAMATORIA PELVICA FEMENINA POR SIFILIS (A51.4†, A52.7†)",31.0,6.0,19.0,70.0,13.0
N743,ENFERMEDAD INFLAMATORIA PELVICA FEMENINA POR GONOCOCOS (A54.2†),31.0,6.0,19.0,70.0,13.0
N744,ENFERMEDAD INFLAMATORIA PELVICA FEMENINA POR CLAMIDIAS (A56.1†),31.0,6.0,19.0,70.0,13.0
N748,TRASTORNOS INFLAMATORIOS PELVICOS FEMENINOS EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE,31.0,6.0,19.0,70.0,13.0
N750,QUISTE DE LA GLANDULA DE BARTHOLIN,31.0,6.0,19.0,98.0,13.0
N751,ABSCESO DE LA GLANDULA DE BARTHOLIN,31.0,6.0,19.0,98.0,13.0
N758,OTRAS ENFERMEDADES DE LA GLANDULA DE BARTHOLIN,31.0,6.0,19.0,98.0,13.0
N759,"ENFERMEDAD DE LA GLANDULA DE BARTHOLIN, NO ESPECIFICADA",31.0,6.0,19.0,97.0,13.0
N760,VAGINITIS AGUDA,31.0,6.0,19.0,98.0,13.0
N761,VAGINITIS SUBAGUDA Y CRONICA,31.0,6.0,19.0,98.0,13.0
N762,VULVITIS AGUDA,31.0,6.0,19.0,98.0,13.0
N763,VULVITIS SUBAGUDA Y CRONICA,31.0,6.0,19.0,98.0,13.0
N764,ABSCESO VULVAR,31.0,6.0,19.0,98.0,13.0
N765,ULCERACION DE LA VAGINA,31.0,6.0,19.0,98.0,13.0
N766,ULCERACION DE LA VULVA,31.0,6.0,19.0,98.0,13.0
N768,OTRAS INFLAMACIONES ESPECIFICADAS DE LA VAGINA Y DE LA VULVA,31.0,6.0,19.0,98.0,13.0
N770,ULCERACION DE LA VULVA EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE,31.0,6.0,19.0,98.0,13.0
N771,"VAGINITIS, VULVITIS Y VULVOVAGINITIS EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE",31.0,6.0,19.0,98.0,13.0
N778,ULCERACION E INFLAMACION VULVOVAGINAL EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE,31.0,6.0,19.0,98.0,13.0
N800,ENDOMETRIOSIS DEL UTERO,31.0,6.0,19.0,97.0,13.0
N801,ENDOMETRIOSIS DEL OVARIO,31.0,6.0,19.0,68.0,13.0
N802,ENDOMETRIOSIS DE LA TROMPA DE FALOPIO,31.0,6.0,19.0,97.0,13.0
N803,ENDOMETRIOSIS DEL PERITONEO PELVICO,31.0,6.0,19.0,70.0,13.0
N804,ENDOMETRIOSIS DEL TABIQUE RECTOVAGINAL Y DE LA VAGINA,31.0,6.0,19.0,98.0,13.0
N805,ENDOMETRIOSIS DEL INTESTINO,31.0,6.0,19.0,97.0,13.0
N806,ENDOMETRIOSIS EN CICATRIZ CUTANEA,31.0,6.0,19.0,97.0,13.0
N808,OTRAS ENDOMETRIOSIS,31.0,6.0,19.0,97.0,13.0
N809,"ENDOMETRIOSIS, NO ESPECIFICADA",31.0,6.0,19.0,97.0,13.0
N810,URETROCELE FEMENINO,31.0,6.0,19.0,98.0,13.0
N811,CISTOCELE,31.0,6.0,19.0,98.0,13.0
N812,PROLAPSO UTEROVAGINAL INCOMPLETO,31.0,6.0,19.0,97.0,13.0
N813,PROLAPSO UTEROVAGINAL COMPLETO,31.0,6.0,19.0,97.0,13.0
N814,"PROLAPSO UTEROVAGINAL, SIN OTRA ESPECIFICACION",31.0,6.0,19.0,97.0,13.0
N815,ENTEROCELE VAGINAL,31.0,6.0,19.0,98.0,13.0
N816,RECTOCELE,31.0,6.0,19.0,98.0,13.0
N818,OTROS PROLAPSOS GENITALES FEMENINOS,31.0,6.0,19.0,47.0,13.0
N819,"PROLAPSO GENITAL FEMENINO, NO ESPECIFICADO",31.0,6.0,19.0,47.0,13.0
N820,FISTULA VESICOVAGINAL,31.0,6.0,19.0,98.0,13.0
N821,OTRAS FISTULAS DE LAS VIAS GENITOURINARIAS FEMENINAS,31.0,6.0,19.0,47.0,13.0
N822,FISTULA DE LA VAGINA AL INTESTINO DELGADO,31.0,6.0,19.0,98.0,13.0
N823,FISTULA DE LA VAGINA AL INTESTINO GRUESO,31.0,6.0,19.0,98.0,13.0
N824,OTRAS FISTULAS DEL TRACTO GENITAL FEMENINO AL TRACTO INTESTINAL,31.0,6.0,19.0,47.0,13.0
N825,FISTULA DEL TRACTO GENITAL FEMENINO A LA PIEL,31.0,6.0,36.0,47.0,13.0
N828,OTRAS FISTULAS DEL TRACTO GENITAL FEMENINO,31.0,6.0,19.0,47.0,13.0
N829,"FISTULA DEL TRACTO GENITAL FEMENINO, SIN OTRA ESPECIFICACION",31.0,6.0,19.0,47.0,13.0
N830,QUISTE FOLICULAR DEL OVARIO,31.0,6.0,19.0,68.0,13.0
N831,QUISTE DEL CUERPO AMARILLO,31.0,6.0,19.0,68.0,13.0
N832,OTROS QUISTES OVARICOS Y LOS NO ESPECIFICADOS,31.0,6.0,19.0,68.0,13.0
N833,ATROFIA ADQUIRIDA DEL OVARIO Y DE LA TROMPA FALOPIO,31.0,6.0,19.0,68.0,13.0
N834,PROLAPSO Y HERNIA DEL OVARIO Y DE LA TROMPA DE FALOPIO,31.0,6.0,19.0,68.0,13.0
N835,"TORSION DE OVARIO, PEDICULO DE OVARIO Y TROMPA DE FALOPIO",31.0,6.0,19.0,68.0,13.0
N836,HEMATOSALPINX,31.0,6.0,19.0,97.0,13.0
N837,HEMATOMA DEL LIGAMENTO ANCHO,31.0,6.0,19.0,97.0,13.0
N838,"OTROS TRASTORNOS NO INFLAMATORIOS DEL OVARIO, DE LA TROMPA DE FALOPIO Y DEL LIGAMENTO ANCHO",31.0,6.0,19.0,68.0,13.0
N839,"ENFERMEDAD NO INFLAMATORIA DEL OVARIO, DE LA TROMPA DE FALOPIO Y DEL LIGAMENTO ANCHO, NO ESPECIFICADA",31.0,6.0,19.0,68.0,13.0
N840,POLIPO DEL CUERPO DEL UTERO,31.0,6.0,19.0,97.0,13.0
N841,POLIPO DEL CUELLO DEL UTERO,31.0,6.0,19.0,97.0,13.0
N842,POLIPO DE LA VAGINA,31.0,6.0,19.0,98.0,13.0
N843,POLIPO DE LA VULVA,31.0,6.0,19.0,98.0,13.0
N848,POLIPO DE OTRAS PARTES DEL TRACTO GENITAL FEMENINO,31.0,6.0,19.0,47.0,13.0
N849,"POLIPO DEL TRACTO GENITAL FEMENINO, NO ESPECIFICADO",31.0,6.0,19.0,47.0,13.0
N850,HIPERPLASIA DE GLANDULA DEL ENDOMETRIO,31.0,6.0,19.0,97.0,13.0
N851,HIPERPLASIA ADENOMATOSA DEL ENDOMETRIO,31.0,6.0,19.0,97.0,13.0
N852,HIPERTROFIA DEL UTERO,31.0,6.0,19.0,97.0,13.0
N853,SUBINVOLUCION DEL UTERO,31.0,6.0,19.0,97.0,13.0
N854,MALA POSICION DEL UTERO,31.0,6.0,19.0,97.0,13.0
N855,INVERSION DEL UTERO,31.0,6.0,19.0,97.0,13.0
N856,SINEQUIAS INTRAUTERINAS,31.0,6.0,19.0,97.0,13.0
N857,HEMATOMETRA,31.0,6.0,19.0,97.0,13.0
N858,OTROS TRASTORNOS NO INFLAMATORIOS ESPECIFICADOS DEL UTERO,31.0,6.0,19.0,97.0,13.0
N859,"TRASTORNO NO INFLAMATORIO DEL UTERO, NO ESPECIFICADO",31.0,6.0,19.0,97.0,13.0
N86X,EROSION Y ECTROPION DEL CUELLO DEL UTERO,31.0,6.0,19.0,97.0,13.0
N870,DISPLASIA CERVICAL LEVE,31.0,6.0,19.0,97.0,13.0
N871,DISPLASIA CERVICAL MODERADA,31.0,6.0,19.0,97.0,13.0
N872,"DISPLASIA CERVICAL SEVERA, NO CLASIFICADA EN OTRA PARTE",31.0,6.0,19.0,97.0,13.0
N879,"DISPLASIA DEL CUELLO DEL UTERO, NO ESPECIFICADA",31.0,6.0,19.0,97.0,13.0
N880,LEUCOPLASIA DEL CUELLO DEL UTERO,31.0,6.0,19.0,97.0,13.0
N881,LACERACION ANTIGUA DEL CUELLO DEL UTERO,31.0,6.0,19.0,97.0,13.0
N882,ESTRECHEZ Y ESTENOSIS DEL CUELLO DEL UTERO,31.0,6.0,19.0,97.0,13.0
N883,INCOMPETENCIA DEL CUELLO DEL UTERO,31.0,6.0,19.0,97.0,13.0
N884,ELONGACION HIPERTROFICA DEL CUELLO DEL UTERO,31.0,6.0,19.0,97.0,13.0
N888,OTROS TRASTORNOS NO INFLAMATORIOS ESPECIFICADOS DEL CUELLO DEL UTERO,31.0,6.0,19.0,97.0,13.0
N889,"TRASTORNO NO INFLAMATORIO DEL CUELLO DEL UTERO, NO ESPECIFICADO",31.0,6.0,19.0,97.0,13.0
N890,DISPLASIA VAGINAL LEVE,31.0,6.0,19.0,98.0,13.0
N891,DISPLASIA VAGINAL MODERADA,31.0,6.0,19.0,98.0,13.0
N892,"DISPLASIA VAGINAL SEVERA, NO CLASIFICADA EN OTRA PARTE",31.0,6.0,19.0,98.0,13.0
N893,"DISPLASIA DE LA VAGINA, NO ESPECIFICADA",31.0,6.0,19.0,98.0,13.0
N894,LEUCOPLASIA DE LA VAGINA,31.0,6.0,19.0,98.0,13.0
N895,ESTRECHEZ Y ATRESIA DE LA VAGINA,31.0,6.0,19.0,98.0,13.0
N896,ANILLO DE HIMEN ESTRECHO,31.0,6.0,19.0,97.0,13.0
N897,HEMATOCOLPOS,31.0,6.0,19.0,97.0,13.0
N898,OTROS TRASTORNOS ESPECIFICADOS NO INFLAMATORIOS DE LA VAGINA,31.0,6.0,19.0,98.0,13.0
N899,"TRASTORNO NO INFLAMATORIO DE LA VAGINA, NO ESPECIFICADO",31.0,6.0,19.0,98.0,13.0
N900,DISPLASIA VULVAR LEVE,31.0,6.0,19.0,98.0,13.0
N901,DISPLASIA VULVAR MODERADA,31.0,6.0,19.0,98.0,13.0
N902,"DISPLASIA VULVAR SEVERA, NO CLASIFICADA EN OTRA PARTE",31.0,6.0,19.0,98.0,13.0
N903,"DISPLASIA DE LA VULVA, NO ESPECIFICADA",31.0,6.0,19.0,98.0,13.0
N904,LEUCOPLASIA DE LA VULVA,31.0,6.0,19.0,98.0,13.0
N905,ATROFIA DE LA VULVA,31.0,6.0,19.0,98.0,13.0
N906,HIPERTROFIA DE LA VULVA,31.0,6.0,19.0,98.0,13.0
N907,QUISTE DE LA VULVA,31.0,6.0,19.0,98.0,13.0
N908,OTROS TRASTORNOS NO INFLAMATORIOS ESPECIFICADOS DE LA VULVA Y DEL PERINEO,31.0,6.0,19.0,98.0,13.0
N909,"TRASTORNO NO INFLAMATORIO DE LA VULVA Y DEL PERINEO, NO ESPECIFICADO",31.0,6.0,19.0,98.0,13.0
N910,AMENORREA PRIMARIA,31.0,6.0,33.0,64.0,13.0
N911,AMENORREA SECUNDARIA,31.0,6.0,33.0,64.0,13.0
N912,"AMENORREA, SIN OTRA ESPECIFICACION",31.0,6.0,33.0,64.0,13.0
N913,OLIGOMENORREA PRIMARIA,31.0,6.0,19.0,97.0,13.0
N914,OLIGOMENORREA SECUNDARIA,31.0,6.0,19.0,97.0,13.0
N915,OLIGOMENORREA NO ESPECIFICADA,31.0,6.0,19.0,97.0,13.0
N920,MENSTRUACION EXCESIVA Y FRECUENTE CON CICLO REGULAR,31.0,6.0,19.0,97.0,13.0
N921,MENSTRUACION EXCESIVA Y FRECUENTE CON CICLO IRREGULAR,31.0,6.0,19.0,97.0,13.0
N922,MENSTRUACION EXCESIVA EN LA PUBERTAD,31.0,6.0,19.0,97.0,13.0
N923,HEMORRAGIA POR OVULACION,31.0,6.0,19.0,68.0,13.0
N924,HEMORRAGIA EXCESIVA EN PERIODO PREMENOPAUSICO,31.0,6.0,19.0,97.0,13.0
N925,OTRAS MENSTRUACIONES IRREGULARES ESPECIFICADAS,31.0,6.0,19.0,97.0,13.0
N926,"MENSTRUACION IRREGULAR, NO ESPECIFICADA",31.0,6.0,19.0,97.0,13.0
N930,HEMORRAGIA POSTCOITO Y POSTCONTACTO,31.0,6.0,19.0,97.0,13.0
N938,OTRAS HEMORRAGIAS UTERINAS O VAGINALES ANORMALES ESPECIFICADAS,31.0,6.0,19.0,98.0,13.0
N939,"HEMORRAGIA VAGINAL Y UTERINA ANORMAL, NO ESPECIFICADA",31.0,6.0,19.0,98.0,13.0
N940,DOLOR INTERMENSTRUAL,31.0,6.0,19.0,97.0,13.0
N941,DISPAREUNIA,31.0,6.0,19.0,98.0,13.0
N942,VAGINISMO,31.0,6.0,19.0,98.0,13.0
N943,SINDROME DE TENSION PREMENSTRUAL,31.0,6.0,19.0,97.0,13.0
N944,DISMENORREA PRIMARIA,31.0,6.0,19.0,97.0,13.0
N945,DISMENORREA SECUNDARIA,31.0,6.0,19.0,97.0,13.0
N946,"DISMENORREA, NO ESPECIFICADA",31.0,6.0,19.0,97.0,13.0
N948,OTRAS AFECCIONES ESPECIFICADAS ASOCIADAS CON LOS ORGANOS GENITALES FEMENINOS Y EL CICLO MENSTRUAL,31.0,6.0,19.0,97.0,13.0
N949,AFECCIONES NO ESPECIFICADAS ASOCIADAS CON LOS ORGANOS GENITALES FEMENINOS Y EL CICLO MENSTRUAL,31.0,6.0,19.0,97.0,13.0
N950,HEMORRAGIA POSTMENOPAUSICA,31.0,6.0,19.0,97.0,13.0
N951,ESTADOS MENOPAUSICOS Y CLIMATERICOS FEMENINOS,31.0,6.0,19.0,97.0,13.0
N952,VAGINITIS ATROFICA POSTMENOPAUSICA,31.0,6.0,19.0,98.0,13.0
N953,ESTADOS ASOCIADOS CON MENOPAUSIA ARTIFICIAL,31.0,6.0,19.0,97.0,13.0
N958,OTROS TRASTORNOS MENOPAUSICOS Y PERIMENOPAUSICOS ESPECIFICADOS,31.0,6.0,19.0,97.0,13.0
N959,"TRASTORNO MENOPAUSICO Y PERIMENOPAUSICO, NO ESPECIFICADO",31.0,6.0,19.0,97.0,13.0
N96X,ABORTADORA HABITUAL,31.0,6.0,33.0,64.0,13.0
N970,INFERTILIDAD FEMENINA ASOCIADA CON FALTA DE OVULACION,31.0,6.0,19.0,68.0,13.0
N971,INFERTILIDAD FEMENINA DE ORIGEN TUBARICO,31.0,6.0,19.0,47.0,13.0
N972,INFERTILIDAD FEMENINA DE ORIGEN UTERINO,31.0,6.0,19.0,97.0,13.0
N973,INFERTILIDAD FEMENINA DE ORIGEN CERVICAL,31.0,6.0,19.0,47.0,13.0
N974,INFERTILIDAD FEMENINA ASOCIADA CON FACTORES MASCULINOS,31.0,6.0,19.0,47.0,13.0
N978,INFERTILIDAD FEMENINA DE OTRO ORIGEN,31.0,6.0,19.0,47.0,13.0
N979,"INFERTILIDAD FEMENINA, NO ESPECIFICADA",31.0,6.0,19.0,47.0,13.0
N980,INFECCION ASOCIADA CON INSEMINACION ARTIFICIAL,31.0,6.0,19.0,47.0,13.0
N981,HIPERESTIMULACION DE OVARIOS,31.0,6.0,19.0,68.0,13.0
N982,COMPLICACIONES EN EL INTENTO DE INTRODUCCION DEL HUEVO FECUNDADO EN LA FERTILIZACION EN VITRO,31.0,6.0,33.0,64.0,13.0
N983,COMPLICACIONES EN EL INTENTO INTRODUCCION DEL EMBRION EN LA TRANSFERENCIA DE EMBRIONES,31.0,6.0,33.0,64.0,13.0
N988,OTRAS COMPLICACIONES ASOCIADAS CON LA FECUNDACION ARTIFICIAL,31.0,6.0,33.0,64.0,13.0
N989,COMPLICACION NO ESPECIFICADA ASOCIADA CON LA FECUNDACION ARTIFICIAL,31.0,6.0,33.0,64.0,13.0
N990,INSUFICIENCIA RENAL CONSECUTIVA A PROCEDIMIENTOS,31.0,12.0,43.0,47.0,13.0
N991,ESTRECHEZ URETRAL CONSECUTIVA A PROCEDIMIENTOS,31.0,12.0,43.0,96.0,13.0
N992,ADHERENCIAS POSTOPERATORIAS DE LA VAGINA,31.0,6.0,19.0,98.0,13.0
N993,PROLAPSO DE LA CUPULA VAGINAL DESPUES DE HISTERECTOMIA,31.0,6.0,19.0,98.0,13.0
N994,ADHERENCIAS PERITONEALES PELVICAS CONSECUTIVAS A PROCEDIMIENTOS,31.0,6.0,19.0,70.0,13.0
N995,MAL FUNCIONAMIENTO DE ESTOMA EXTERNO DE VIAS URINARIAS,31.0,12.0,43.0,47.0,13.0
N998,OTROS TRASTORNOS DEL SISTEMA GENITOURINARIO CONSECUTIVOS A PROCEDIMIENTOS,31.0,6.0,19.0,47.0,3.0
N999,TRASTORNO NO ESPECIFICADO DEL SISTEMA GENITOURINARIO CONSECUTIVO A PROCEDIMIENTOS,31.0,6.0,19.0,47.0,3.0
O000,EMBARAZO ABDOMINAL,9.0,6.0,33.0,64.0,14.0
O001,EMBARAZO TUBARICO,9.0,6.0,33.0,64.0,14.0
O002,EMBARAZO OVARICO,9.0,6.0,33.0,64.0,14.0
O008,OTROS EMBARAZOS ECTOPICOS,9.0,6.0,33.0,64.0,14.0
O009,"EMBARAZO ECTOPICO, NO ESPECIFICADO",9.0,6.0,33.0,64.0,14.0
O010,MOLA HIDATIFORME CLASICA,9.0,6.0,33.0,64.0,14.0
O011,"MOLA HIDATIFORME, INCOMPLETA O PARCIAL",9.0,6.0,33.0,64.0,14.0
O019,"MOLA HIDATIFORME, NO ESPECIFICADA",9.0,6.0,33.0,64.0,14.0
O020,DETENCION DEL DESARROLLO DEL HUEVO Y MOLA NO HIDATIFORME,9.0,6.0,33.0,64.0,14.0
O021,ABORTO RETENIDO,9.0,6.0,33.0,64.0,14.0
O028,OTROS PRODUCTOS ANORMALES ESPECIFICADOS DE LA CONCEPCION,9.0,6.0,33.0,64.0,14.0
O029,"PRODUCTO ANORMAL DE LA CONCEPCION, NO ESPECIFICADO",9.0,6.0,33.0,64.0,14.0
O030,"ABORTO ESPONTANEO: INCOMPLETO, COMPLICADO CON INFECCIÓN GENITAL Y PELVIANA",9.0,6.0,33.0,64.0,14.0
O031,"ABORTO ESPONTANEO: INCOMPLETO, COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA",9.0,6.0,33.0,64.0,14.0
O032,"ABORTO ESPONTANEO: INCOMPLETO, COMPLICADO POR EMBOLIA",9.0,6.0,33.0,64.0,14.0
O033,"ABORTO ESPONTANEO: INCOMPLETO, CON OTRAS COMPLICACIONES ESPECIFICADAS Y LAS NO ESPECIFICADAS",9.0,6.0,33.0,64.0,14.0
O034,"ABORTO ESPONTANEO: INCOMPLETO, SIN COMPLICACION",9.0,6.0,33.0,64.0,14.0
O035,"ABORTO ESPONTANEO: COMPLETO O NO ESPECIFICADO, COMPLICADO CON INFECCION GENITAL Y PELVIANA",9.0,6.0,33.0,64.0,14.0
O036,"ABORTO ESPONTANEO: COMPLETO O NO ESPECIFICADO, COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA",9.0,6.0,33.0,64.0,14.0
O037,"ABORTO ESPONTANEO: COMPLETO O NO ESPECIFICADO, COMPLICADO POR EMBOLIA",9.0,6.0,33.0,64.0,14.0
O038,"ABORTO ESPONTANEO: COMPLETO O NO ESPECIFICADO, CON OTRAS COMPLICACIONES ESPECIFICADAS Y LAS NO ESPECIFICADAS",9.0,6.0,33.0,64.0,14.0
O039,"ABORTO ESPONTANEO: COMPLETO O NO ESPECIFICADO, SIN COMPLICACION",9.0,6.0,33.0,64.0,14.0
O040,"ABORTO MEDICO: INCOMPLETO, COMPLICADO CON INFECCIÓN GENITAL Y PELVIANA",9.0,6.0,33.0,64.0,14.0
O041,"ABORTO MEDICO: INCOMPLETO, COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA",9.0,6.0,33.0,64.0,14.0
O042,"ABORTO MEDICO: INCOMPLETO, COMPLICADO POR EMBOLIA",9.0,6.0,33.0,64.0,14.0
O043,"ABORTO MEDICO: INCOMPLETO, CON OTRAS COMPLICACIONES ESPECIFICADAS Y LAS NO ESPECIFICADAS",9.0,6.0,33.0,64.0,14.0
O044,"ABORTO MEDICO: INCOMPLETO, SIN COMPLICACION",9.0,6.0,33.0,64.0,14.0
O045,"ABORTO MEDICO: COMPLETO O NO ESPECIFICADO, COMPLICADO CON INFECCION GENITAL Y PELVIANA",9.0,6.0,33.0,64.0,14.0
O046,"ABORTO MEDICO: COMPLETO O NO ESPECIFICADO, COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA",9.0,6.0,33.0,64.0,14.0
O047,"ABORTO MEDICO: COMPLETO O NO ESPECIFICADO, COMPLICADO POR EMBOLIA",9.0,6.0,33.0,64.0,14.0
O048,"ABORTO MEDICO: COMPLETO O NO ESPECIFICADO, CON OTRAS COMPLICACIONES ESPECIFICADAS Y LAS NO ESPECIFICADAS",9.0,6.0,33.0,64.0,14.0
O049,"ABORTO MEDICO: COMPLETO O NO ESPECIFICADO, SIN COMPLICACION",9.0,6.0,33.0,64.0,14.0
O050,"OTRO ABORTO: INCOMPLETO, COMPLICADO CON INFECCIÓN GENITAL Y PELVIANA",9.0,6.0,33.0,64.0,14.0
O051,"OTRO ABORTO: INCOMPLETO, COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA",9.0,6.0,33.0,64.0,14.0
O052,"OTRO ABORTO: INCOMPLETO, COMPLICADO POR EMBOLIA",9.0,6.0,33.0,64.0,14.0
